Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,Retail,"611,289",6.70%,2100000.00,"Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,"513,983",9.40%,1540000.00,"Seattle, Washington"
3,ExxonMobil,Petroleum industry,"413,680",44.80%,62000.00,"Spring, Texas"
4,Apple,Electronics industry,"394,328",7.80%,164000.00,"Cupertino, California"
5,UnitedHealth Group,Healthcare,"324,162",12.70%,400000.00,"Minnetonka, Minnesota"
6,CVS Health,Healthcare,"322,467",10.40%,259500.00,"Woonsocket, Rhode Island"
7,Berkshire Hathaway,Conglomerate,"302,089",9.40%,383000.00,"Omaha, Nebraska"
8,Alphabet,Technology and cloud computing,"282,836",9.80%,156000.00,"Mountain View, California"
9,McKesson Corporation,Health,"276,711",4.80%,48500.00,"Irving, Texas"
10,Chevron Corporation,Petroleum industry,"246,252",51.60%,43846.00,"San Ramon, California"
11,Cencora,Pharmacy wholesale,"238,587",11.50%,41500.00,"Chesterbrook, Pennsylvania"
12,Costco,Retail,"226,954",15.80%,304000.00,"Issaquah, Washington"
13,Microsoft,Technology and cloud computing,"198,270",18.00%,221000.00,"Redmond, Washington"
14,Cardinal Health,Healthcare,"181,364",11.60%,46035.00,"Dublin, Ohio"
15,Cigna,Health insurance,"180,516",3.70%,70231.00,"Bloomfield, Connecticut"
16,Marathon Petroleum,Petroleum industry,"180,012",27.60%,17800.00,"Findlay, Ohio"
17,Phillips 66,Petroleum industry,"175,702",53.00%,13000.00,"Houston, Texas"
18,Valero Energy,Petroleum industry,"171,189",58.00%,9743.00,"San Antonio, Texas"
19,Ford Motor Company,Automotive industry,"158,057",15.90%,173000.00,"Dearborn, Michigan"
20,The Home Depot,Retail,"157,403",4.10%,471600.00,"Atlanta, Georgia"
21,General Motors,Automotive industry,"156,735",23.40%,167000.00,"Detroit, Michigan"
22,Elevance Health,Healthcare,"156,595",13.00%,102200.00,"Indianapolis, Indiana"
23,JPMorgan Chase,Financial services,"154,792",21.70%,293723.00,"New York City, New York"
24,Kroger,Retail,"148,258",7.50%,430000.00,"Cincinnati, Ohio"
25,Centene,Healthcare,"144,547",14.70%,74300.00,"St. Louis, Missouri"
26,Verizon Communications,Telecommunications,"136,835",2.40%,117100.00,"New York City, New York"
27,Walgreens Boots Alliance,Pharmaceutical industry,"132,703",10.70%,262500.00,"Deerfield, Illinois"
28,Fannie Mae,Financials,"121,596",19.70%,8000.00,"Washington, D.C."
29,Comcast,Telecommunications,"121,427",4.30%,186000.00,"Philadelphia, Pennsylvania"
30,AT&T,Conglomerate and telecomunications,"120,741",28.50%,160700.00,"Dallas, Texas"
31,Meta Platforms,Technology,"116,609",1.10%,86482.00,"Menlo Park, California"
32,Bank of America,Financials,"115,053",22.60%,216823.00,"Charlotte, North Carolina"
33,Target Corporation,Retail,"109,120",2.90%,440000.00,"Minneapolis, Minnesota"
34,Dell Technologies,Technology,"102,301",4.40%,133000.00,"Round Rock, Texas"
35,Archer Daniels Midland,Food industry,"101,556",19.10%,41181.00,"Chicago, Illinois"
36,Citigroup,Financials,"101,078",26.60%,238104.00,"New York City, New York"
37,United Parcel Service,Transportation,"100,338",3.10%,404700.00,"Atlanta, Georgia"
38,Pfizer,Pharmaceutical industry,"100,330",23.40%,83000.00,"New York City, New York"
39,Lowe's,Retail,"97,059",0.80%,244500.00,"Mooresville, North Carolina"
40,Johnson & Johnson,Pharmaceutical industry,"94,943",1.20%,152700.00,"New Brunswick, New Jersey"
41,FedEx,Transportation,"93,512",11.40%,518249.00,"Memphis, Tennessee"
42,Humana,Health insurance,"92,870",11.80%,67100.00,"Louisville, Kentucky"
43,Energy Transfer Partners,Petroleum industry,"89,876",33.30%,12565.00,"Dallas, Texas"
44,State Farm,Financials,"89,328",8.60%,60519.00,"Bloomington, Illinois"
45,Freddie Mac,Financials,"86,717",31.60%,7819.00,"McLean, Virginia"
46,PepsiCo,Beverage,"86,859",8.70%,315000.00,"Purchase, New York"
47,Wells Fargo,Financials,"82,859",0.50%,238000.00,"San Francisco, California"
48,The Walt Disney Company,Media,"82,722",22.70%,195800.00,"Burbank, California"
49,ConocoPhillips,Petroleum industry,"82,156",69.90%,9500.00,"Houston, Texas"
50,Tesla,Automotive and energy,"81,462",51.40%,127855.00,"Austin, Texas"
51,Procter & Gamble,Consumer products manufacturing,"80,187",5.30%,106000.00,"Cincinnati, Ohio"
52,United States Postal Service,Logistics,"78,620",2.00%,576000.00,"Washington, D.C."
53,Albertsons,Retail,"77,650",8.00%,198650.00,"Boise, Idaho"
54,General Electric,Conglomerate,"76,555",3.20%,172000.00,"Boston, Massachusetts"
55,MetLife,Financials,"69,898",1.70%,45000.00,"New York City, New York"
56,Goldman Sachs,Financials,"68,711",5.70%,48500.00,"New York City, New York"
57,Sysco,Food service,"68,636",33.80%,70510.00,"Houston, Texas"
58,Bunge Limited,Food industry,"67,232",13.70%,23000.00,"White Plains, New York"
59,RTX Corporation,Conglomerate,"67,074",4.20%,182000.00,"Arlington County, Virginia"
60,Boeing,Aerospace and defense,"66,608",6.90%,156000.00,"Arlington County, Virginia"
61,StoneX Group,Financials,"66,036",55.30%,4000.00,"New York City, New York"
62,Lockheed Martin,Aerospace and defense,"65,984",1.60%,116000.00,"Bethesda, Maryland"
63,Morgan Stanley,Financials,"65,936",7.90%,82427.00,"New York City, New York"
64,Intel,Technology,"63,054",20.10%,131900.00,"Santa Clara, California"
65,HP,Technology,"62,983",0.80%,58000.00,"Palo Alto, California"
66,TD Synnex,Infotech,"62,344",97.20%,28500.00,"Clearwater, Florida"
67,IBM,Technology and cloud computing,"60,530",16.30%,303100.00,"Armonk, New York"
68,HCA Healthcare,Healthcare,"60,233",2.50%,250500.00,"Nashville, Tennessee"
69,Prudential Financial,Financials,"60,050",15.30%,39583.00,"Newark, New Jersey"
70,Caterpillar,Machinery,"59,427",16.60%,109100.00,"Deerfield, Illinois"
71,Merck & Co.,Pharmaceutical industry,"59,283",15.80%,68000.00,"Kenilworth, New Jersey"
72,World Fuel Services,Petroleum industry and logistics,"59,043",88.40%,5214.00,"Miami, Florida"
73,New York Life Insurance Company,Insurance,"58,445",14.20%,15050.00,"New York City, New York"
74,Enterprise Products,Petroleum industry,"58,186",42.60%,7300.00,"Houston, Texas"
75,AbbVie,Pharmaceutical industry,"58,054",3.30%,50000.00,"Lake Bluff, Illinois"
76,Plains All American Pipeline,Petroleum industry,"57,342",36.30%,4100.00,"Houston, Texas"
77,Dow Chemical Company,Chemical industry,"56,902",3.50%,37800.00,"Midland, Michigan"
78,AIG,Insurance,"56,437",8.40%,26200.00,"New York City, New York"
79,American Express,Financial,"55,625",27.30%,77300.00,"New York City, New York"
80,Publix,Retail,"54,942",13.50%,242000.00,"Lakeland, Florida"
81,Charter Communications,Telecommunications,"54,022",4.50%,101700.00,"Stamford, Connecticut"
82,Tyson Foods,Food processing,"53,282",13.20%,142000.00,"Springdale, Arkansas"
83,John Deere,Agriculture manufacturing,"52,577",19.40%,82239.00,"Moline, Illinois"
84,Cisco,Telecom hardware manufacturing,"51,557",3.50%,83300.00,"San Jose, California"
85,Nationwide Mutual Insurance Company,Financial,"51,450",8.60%,24791.00,"Columbus, Ohio"
86,Allstate,Insurance,"51,412",3.40%,54250.00,"Northfield Township, Cook County, Illinois"
87,Delta Air Lines,Airline,"50,582",69.20%,95000.00,"Atlanta, Georgia"
88,Liberty Mutual,Insurance,"49,956",3.60%,50000.00,"Boston, Massachusetts"
89,TJX,Retail,"49,936",2.90%,329000.00,"Framingham, Massachusetts"
90,Progressive Corporation,Insurance,"49,611",4.00%,55063.00,"Mayfield Village, Ohio"
91,American Airlines,Airline,"48,971",63.90%,129700.00,"Fort Worth, Texas"
92,CHS,Agriculture cooperative,"47,194",24.30%,10014.00,"Inver Grove Heights, Minnesota"
93,Performance Food Group,Food processing,"47,194",61.60%,34825.00,"Richmond, Virginia"
94,PBF Energy,Petroleum industry,"46,830",71.80%,3616.00,"Parsippany–Troy Hills, New Jersey"
95,Nike,Apparel,"46,710",4.90%,79100.00,"Beaverton, Oregon"
96,Best Buy,Retail,"46,298",10.60%,71100.00,"Richfield, Minnesota"
97,Bristol-Myers Squibb,Pharmaceutical industry,"46,159",0.50%,34300.00,"New York City, New York"
98,United Airlines,Airline,"44,955",82.50%,92795.00,"Chicago, Illinois"
99,Thermo Fisher Scientific,Laboratory instruments,"44,915",14.50%,130000.00,"Waltham, Massachusetts"
100,Qualcomm,Technology,"44,200",31.70%,51000.00,"San Diego, California"
